project_key,date,commits,authors,additions,deletions,churn,truncated
xlenore/ps2-covers,2026-02-11,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-12,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-13,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-14,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-15,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-16,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-17,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-18,1,1,0,0,0,false
xlenore/ps2-covers,2026-02-19,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-20,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-21,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-22,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-23,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-24,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-25,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-26,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-27,0,0,0,0,0,false
xlenore/ps2-covers,2026-02-28,4,1,0,0,0,false
xlenore/ps2-covers,2026-03-01,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-02,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-03,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-04,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-05,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-06,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-07,1,1,0,2,2,false
xlenore/ps2-covers,2026-03-08,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-09,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-10,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-11,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-12,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-13,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-14,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-15,4,1,0,2,2,false
xlenore/ps2-covers,2026-03-16,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-17,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-18,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-19,1,1,0,0,0,false
xlenore/ps2-covers,2026-03-20,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-21,7,1,5720,0,5720,false
xlenore/ps2-covers,2026-03-22,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-23,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-24,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-25,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-26,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-27,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-28,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-29,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-30,0,0,0,0,0,false
xlenore/ps2-covers,2026-03-31,0,0,0,0,0,false
mpieniak01/Venom,2026-01-01,12,2,1262,2046,3308,false
mpieniak01/Venom,2026-01-02,7,2,1628,324,1952,false
mpieniak01/Venom,2026-01-03,1,1,320,0,320,false
mpieniak01/Venom,2026-01-04,0,0,0,0,0,false
mpieniak01/Venom,2026-01-05,9,2,3154,539,3693,false
mpieniak01/Venom,2026-01-06,0,0,0,0,0,false
mpieniak01/Venom,2026-01-07,7,2,2296,1216,3512,false
mpieniak01/Venom,2026-01-08,36,2,15078,118,15196,false
mpieniak01/Venom,2026-01-09,0,0,0,0,0,false
mpieniak01/Venom,2026-01-10,0,0,0,0,0,false
mpieniak01/Venom,2026-01-11,0,0,0,0,0,false
mpieniak01/Venom,2026-01-12,0,0,0,0,0,false
mpieniak01/Venom,2026-01-13,0,0,0,0,0,false
mpieniak01/Venom,2026-01-14,2,1,2,2,4,false
mpieniak01/Venom,2026-01-15,0,0,0,0,0,false
mpieniak01/Venom,2026-01-16,0,0,0,0,0,false
mpieniak01/Venom,2026-01-17,7,2,3714,3460,7174,false
mpieniak01/Venom,2026-01-18,12,2,2449,704,3153,false
mpieniak01/Venom,2026-01-19,1,1,386,23,409,false
mpieniak01/Venom,2026-01-20,0,0,0,0,0,false
mpieniak01/Venom,2026-01-21,0,0,0,0,0,false
mpieniak01/Venom,2026-01-22,0,0,0,0,0,false
mpieniak01/Venom,2026-01-23,0,0,0,0,0,false
mpieniak01/Venom,2026-01-24,13,2,2883,1071,3954,false
mpieniak01/Venom,2026-01-25,1,1,11826,8046,19872,false
mpieniak01/Venom,2026-01-26,1,1,3547,2685,6232,false
mpieniak01/Venom,2026-01-27,6,2,1569,467,2036,false
mpieniak01/Venom,2026-01-28,3,2,44,25,69,false
mpieniak01/Venom,2026-01-29,0,0,0,0,0,false
mpieniak01/Venom,2026-01-30,11,1,3034,1574,4608,false
mpieniak01/Venom,2026-01-31,25,1,22001,40996,62997,false
mpieniak01/Venom,2026-02-01,14,1,5055,1754,6809,false
mpieniak01/Venom,2026-02-02,12,1,709,344,1053,false
mpieniak01/Venom,2026-02-03,8,1,1957,313,2270,false
mpieniak01/Venom,2026-02-04,3,2,67,11684,11751,false
mpieniak01/Venom,2026-02-05,13,1,2530,461,2991,false
mpieniak01/Venom,2026-02-06,64,1,25178,3459,28637,false
mpieniak01/Venom,2026-02-07,45,2,3421,1361,4782,false
mpieniak01/Venom,2026-02-08,143,1,23392,36472,59864,false
mpieniak01/Venom,2026-02-09,51,1,11441,5281,16722,false
mpieniak01/Venom,2026-02-10,30,1,7350,5975,13325,false
mpieniak01/Venom,2026-02-11,89,2,10935,1582,12517,false
mpieniak01/Venom,2026-02-12,73,2,8051,1590,9641,false
mpieniak01/Venom,2026-02-13,63,2,11238,4453,15691,false
mpieniak01/Venom,2026-02-14,79,2,27412,2666,30078,false
mpieniak01/Venom,2026-02-15,34,2,5357,10249,15606,false
mpieniak01/Venom,2026-02-16,31,1,27954,1017,28971,false
mpieniak01/Venom,2026-02-17,16,2,3057,2539,5596,false
mpieniak01/Venom,2026-02-18,53,2,11877,2403,14280,false
mpieniak01/Venom,2026-02-19,22,2,4392,287,4679,false
mpieniak01/Venom,2026-02-20,19,1,3053,427,3480,false
mpieniak01/Venom,2026-02-21,32,3,25907,13517,39424,false
mpieniak01/Venom,2026-02-22,15,1,6008,1222,7230,false
mpieniak01/Venom,2026-02-23,27,2,8522,2519,11041,false
mpieniak01/Venom,2026-02-24,43,2,13346,563,13909,false
mpieniak01/Venom,2026-02-25,26,2,1106,347,1453,false
mpieniak01/Venom,2026-02-26,22,2,2648,755,3403,false
mpieniak01/Venom,2026-02-27,37,1,18365,10185,28550,false
mpieniak01/Venom,2026-02-28,37,1,22689,7926,30615,false
mpieniak01/Venom,2026-03-01,26,2,17232,7280,24512,false
mpieniak01/Venom,2026-03-02,22,2,6618,1050,7668,false
mpieniak01/Venom,2026-03-03,26,2,9352,1827,11179,false
mpieniak01/Venom,2026-03-04,37,1,9898,1239,11137,false
mpieniak01/Venom,2026-03-05,29,1,7126,1608,8734,false
mpieniak01/Venom,2026-03-06,31,1,4699,2499,7198,false
mpieniak01/Venom,2026-03-07,12,1,8154,2162,10316,false
mpieniak01/Venom,2026-03-08,9,1,2678,380,3058,false
mpieniak01/Venom,2026-03-09,13,1,2251,980,3231,false
mpieniak01/Venom,2026-03-10,24,1,3370,985,4355,false
mpieniak01/Venom,2026-03-11,24,1,12959,12196,25155,false
mpieniak01/Venom,2026-03-12,30,1,6296,762,7058,false
mpieniak01/Venom,2026-03-13,24,1,4740,772,5512,false
mpieniak01/Venom,2026-03-14,12,1,6738,376,7114,false
mpieniak01/Venom,2026-03-15,9,1,1782,515,2297,false
mpieniak01/Venom,2026-03-16,1,1,1097,178,1275,false
mpieniak01/Venom,2026-03-17,1,1,1356,350,1706,false
mpieniak01/Venom,2026-03-18,1,1,2151,69,2220,false
mpieniak01/Venom,2026-03-19,0,0,0,0,0,false
mpieniak01/Venom,2026-03-20,0,0,0,0,0,false
mpieniak01/Venom,2026-03-21,0,0,0,0,0,false
mpieniak01/Venom,2026-03-22,1,1,11202,807,12009,false
mpieniak01/Venom,2026-03-23,0,0,0,0,0,false
mpieniak01/Venom,2026-03-24,0,0,0,0,0,false
mpieniak01/Venom,2026-03-25,0,0,0,0,0,false
mpieniak01/Venom,2026-03-26,0,0,0,0,0,false
mpieniak01/Venom,2026-03-27,0,0,0,0,0,false
mpieniak01/Venom,2026-03-28,0,0,0,0,0,false
mpieniak01/Venom,2026-03-29,0,0,0,0,0,false
mpieniak01/Venom,2026-03-30,0,0,0,0,0,false
mpieniak01/Venom,2026-03-31,0,0,0,0,0,false
